# The Unbeatable Squirrel Girl (S19843) — 15 collected editions, 4 numbered issue files.
#
# Two runs share this Series id and the folder name says so: "The Unbeatable Squirrel Girl v1-v2 (2015)".
# The 2015 v1 ran eight issues and the relaunch later that year ran fifty, both from #1. GCD places
# Vol. 01 at #1-5 and Vol. 02 at #5-8 in the v1 numbering, and Vol. 03 at #1-6 in the v2 numbering —
# two ranges over #1-#6 in one Series id, which is the collision itself.
#
# From Vol. 03 up, GCD and ComicVine agree exactly and tile the v2 run: #1-6, #7-11, #12-16, #17-21,
# #22-26, #27-31, #32-36, #37-41, #42-46, #47-50. That ladder is worth keeping for after the split; it
# cannot be written now because #1-#6 in it also name the v1 issues.
#
# Almost every LOCG claim here is a mis-link to a single comic: the record behind Vol. 01 and the Omnibus
# is "The Unbeatable Squirrel Girl #1" (hence #2-2), Vol. 04's is "#4", Vol. 07's is "#7" — the §6.2
# ordinal shape. The one that would cost files is LOCG's #43-45 on Vol. 08, whose own contents (GCD and
# ComicVine both say #27-31) are elsewhere: #43, #44 and #45 are three of the four issue files we hold,
# and they belong to Vol. 11 (#42-46).



# the remaining 15 editions: two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split

N 19843 the folder is named "v1-v2 (2015)" and both runs number from #1; GCD gives Vol. 01 #1-5 in v1's numbering and Vol. 03 #1-6 in v2's. After a split the v2 ladder tiles exactly: Vol.03 #1-6, 04 #7-11, 05 #12-16, 06 #17-21, 07 #22-26, 08 #27-31, 09 #32-36, 10 #37-41, 11 #42-46, 12 #47-50
F 96050 conflated-series | the 2015 v1 (eight issues) and the v2 relaunch (fifty) share this Series id, so GCD's #1-5 for Vol. 01 and #1-6 for Vol. 03 are two different runs' #1-#6
F 96055 provider-disagrees | LOCG's #43-45 on Vol. 08 covers three of the four issue files on the shelf; GCD and ComicVine both give that book #27-31, and #43-#45 belong to Vol. 11 (#42-46)
u 96046 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96047 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96048 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96049 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96050 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96051 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96052 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96053 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96054 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96055 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96056 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96057 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96058 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 96059 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
u 97921 two Squirrel Girl runs number from #1 under this Series id, so a range in either coordinate claims the other's issues; the v2 ladder is recorded in the note for after the split
