# R-152 - identity revisit of wave 147's split shelves (P-062: the Defenders / Doctor Strange / Fantastic Four / Daredevil families) plus S64767 Ghost Rider, S5304 Defenders by Fraction and S20617 Ultimate Fantastic Four Collection.
# Folder shape: Marvel\_<Family>\NN <Title> vN (<year>) run folders, with _Epic Collections / _Omnibus Editions / Trades beside them, and event-filed second rips under _Marvel Major Event Chronology and _X-Men Complete Chronology V2.
# Surprises: S64767 still holds five Ghost Rider (1990) chronology issues (#26-27, #29, #67-68, "Ghost Rider v2" = CV's Vol. 2) besides the three strays the lead named; S64591 holds the two 2023 "Doctor Strange by Mark Waid" books, which collect the 2018 run S5642 stores; C-044 wrote VOLUME ids in two Ghost Rider I lines (80257, 80223), fixed below.
# Earlier I / C lines on these books are restated (with upgrades) so this file carries every book's own record.

S 5305 cv=- gcd=106500 0.9 | the Defenders Epic Collection LINE (L-109 / L-392): GCD 106500 (Marvel 2016-?, 7 rows) holds all six of our books by volume number, subtitle and ISBN - Vol. 01 row 2468432, Vol. 02 row 2638133 (joined from S5307 / S5306 in P-062), Vol. 06-09 rows 1623796 / 1730405 / 1836098 / 2105311, each 3-8pp under print; ComicVine mints a count-1 volume per book (147058, 158646, 93423, 103812, 112801, 123717), so the line has no CV id
N 5305 Epic Collections are kept as LINES pending Eric's open question; each book's stretch of The Defenders (1972, CV 2569 / GCD 2048) is on its C line
I 78783 cv=962312 gcd=2468432 isbn=978-1-302-93356-2 0.95 | "Defenders Epic Collection Vol. 01 - The Day Of The Defenders (2023)" 487pp = CV 147058 issue 962312 "Volume 1" and GCD 106500 #1 row 2468432 (492pp)
C 78783 cv=2569 gcd=2048 #1-11 0.95 | Vol. 01 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #1-11 per GCD row 2468432's roll-up (29 stories), plus Marvel Feature #1-3 and Avengers #115-118
I 78784 cv=1061549 gcd=2638133 isbn=978-1-302-95531-1 0.95 | "Defenders Epic Collection Vol. 02 - Enter - The Headmen (2024)" 461pp = CV 158646 issue 1061549 "Volume 2" and GCD 106500 #2 row 2638133 (468pp)
C 78784 cv=2569 gcd=2048 #12-25 0.95 | Vol. 02 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #12-25 per GCD row 2638133's note, plus Giant-Size Defenders #1-4
I 78785 cv=546194 gcd=1623796 isbn=978-0-7851-9599-3 0.95 | "Defenders Epic Collection Vol. 06 - The Six-Fingered Hand Saga (2016)" 476pp = CV 93423 issue 546194 "Volume 6" and GCD 106500 #6 row 1623796 (484pp)
C 78785 cv=2569 gcd=2048 #92-109 0.95 | Vol. 06 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #92-109 per GCD row 1623796's roll-up (37 stories), plus Marvel Team-Up #101
I 78786 cv=617839 gcd=1730405 isbn=978-1-302-90428-9 0.95 | "Vol. 07 - Ashes, Ashes (2017)" 437pp = CV 103812 issue 617839 "Volume 7" and GCD 106500 #7 row 1730405 (440pp)
C 78786 cv=2569 gcd=2048 #110-125 0.95 | Vol. 07 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #110-125 per GCD row 1730405's roll-up (36 stories), plus Avengers Annual #11
I 78787 cv=679989 gcd=1836098 isbn=978-1-302-91203-1 0.95 | "Vol. 08 - The New Defenders (2018)" 495pp = CV 112801 issue 679989 "Volume 8" and GCD 106500 #8 row 1836098 (500pp)
C 78787 cv=2569 gcd=2048 #126-137 0.95 | Vol. 08 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #126-137 per GCD row 1836098's roll-up, plus Beauty and the Beast #1-4 and Iceman #1-4
I 78788 cv=731533 gcd=2105311 isbn=978-1-302-92070-8 0.95 | "Vol. 09 - The End of All Songs (2019)" 487pp = CV 123717 issue 731533 "Volume 9" and GCD 106500 #9 row 2105311 (492pp)
C 78788 cv=2569 gcd=2048 #138-152 0.95 | Vol. 09 collects The Defenders (Marvel 1972-1986, 152 issues; CV 2569 / GCD 2048) #138-152 per GCD row 2105311's note, plus Gargoyle #1-4

