# shelf	signal	detail   (s2_open.py: every winning 0.7 and R; feed: next_batch.py --s2-file)
S2	R	C-029: R, F needs-web
S32	07	B-029: S 0.7
S48	07	B-001: S 0.7, F needs-web
S83	R	D-012: R, F provider-missing
S84	R	D-012: R, F provider-missing
S93	07	C-022: S 0.7, F needs-web
S100	R	D-017: R, F provider-missing
S101	R	D-017: R, F provider-missing
S111	R	D-017: R, F provider-missing
S125	R	D-017: R, F provider-missing
S188	R	D-008: R, F provider-missing
S198	R	D-008: R, F provider-missing
S216	R	B-049: R, F provider-missing
S258	R	D-019: R, F provider-missing
S283	07	D-008: S 0.7, F provider-missing
S325	R	D-006: R, F provider-missing
S326	R	D-006: R, F provider-missing
S355	R	D-005: R, F provider-missing
S374	R	D-018: R, F provider-missing
S375	R	D-018: R, F provider-missing
S376	R	D-018: R, F provider-missing
S388	R	C-017: R, F needs-web, wrong-cv-link
S389	R	C-019: R, F needs-web
S452	R	C-030: R, F duplicate-shelf
S505	R	D-008: R, F provider-missing
S556	R	D-012: R, F provider-missing
S568	R	D-003: R, F provider-missing
S593	R	D-012: R, F provider-missing
S663	R	D-003: R, F provider-missing
S704	R	D-009: R, F provider-missing
S772	R	D-005: R, F provider-missing
S813	R	D-008: R, F provider-missing
S899	07	A-025: S 0.7, F provider-missing
S921	R	D-009: R, F provider-missing
S946	R	C-058: R
S970	R	B-029: R, F wrong-cv-link
S974	R	D-006: R, F provider-missing
S1131	R	D-018: R, F provider-missing
S1146	R	D-013: R, F provider-missing
S1147	R	D-006: R, F provider-missing
S1242	R	C-004: R, F provider-missing, wrong-cv-link
S1267	R	D-001: R, F provider-missing
S1336	R	D-005: R, F provider-missing
S1351	07	D-012: S 0.7, F provider-missing
S1388	R	B-067: R, F provider-missing
S1398	R	D-015: R, F provider-missing
S1468	R	D-012: R, F provider-missing
S1469	R	C-028: R, F needs-web
S1473	R	C-060: R
S1523	R	C-041: R
S1566	R	C-041: R
S1661	07	A-026: S 0.7
S1708	07	D-013: S 0.7, F provider-missing
S1797	R	D-006: R, F provider-missing
S1804	R	D-006: R, F provider-missing
S1852	R	B-032: R, F provider-missing
S1872	R	D-003: R, F provider-missing
S1897	R	D-003: R, F provider-missing
S1928	R	C-013: R, F provider-missing, wrong-cv-link
S1951	R	D-003: R, F provider-missing
S1960	R	D-003: R, F misfiled, mobile-rip
S1993	07	B-010: S 0.7, F wrong-cv-link
S2019	R	B-010: R, F mobile-rip, needs-web
S2094	R	D-003: R, F provider-missing
S2095	R	C-011: R
S2120	R	D-003: R, F provider-missing
S2247	07	C-012: S 0.7
S2277	07	B-010: S 0.7, F provider-missing
S2303	R	D-008: R, F provider-missing
S2316	07	C-030: S 0.7, F needs-fetch
S2366	R	D-007: R, F provider-missing
S2402	R	D-008: R, F provider-missing
S2424	R	C-028: R, F misfiled
S2430	R	D-002: R, F provider-missing
S2458	R	B-033: R, F provider-missing, wrong-cv-link
S2522	R	D-006: R, F provider-missing
