# R-050 — revisit of the split lane's P-011 (second part): the Spider-Man bucket S16072 emptied into seven join
# targets (2099 Classic, Dezago/Wieringo, Spider-Man 1990, Death of the Stacys, the Dan Slott line, Spectacular, Ultimate
# 2000) and eleven new keys (1602, the Peter David 2099 trade line, 2099 2014 covers, Exodus, Dark Genesis, Annual 2019,
# One Moment in Time, Black and Blue and Read All Over, 2099 Meets Spider-Man, the Michelinie & Bagley Omnibus, Spider-Man
# 2016), the kept Ultimate Spider-Man 2024 half, and four revisits (Zombie Tramp, the Ra's al Ghul chapters, FF by Ryan
# North, Geronimo Stilton). Every split-reader id re-probed with lookup.py --id / --issues / --gcd-issues / --collects /
# --who-stores; all confirmed. Convention seen: on ONE-BOOK shelves that reprint a single stretch of one run (Dezago &
# Wieringo, Death of the Stacys, One Moment in Time) the landed precedent keeps the book's own record as the S and states
# the run on a C line — the run-over-line ruling would instead fold each into a legacy shelf that is itself R + split.

# ================= Spider-Man 2099 =================
S 16131 cv=18354 gcd=4477 0.9 | Spider-Man 2099 (1992-1996): the #39-46 floppies (ComicInfo Volume 1992 on 8) and the Classic Vol. 01-04 trades whose GCD rows reprint s4477 #1-10, #11-14, #15-22, #23-33, and Omnibus Book 01 (s4477 #1-46) = the stored CV 18354 (Marvel 1992, 46) = GCD 4477 (Marvel 1992-1996, 46); the split JOINED Classic Vol. 02-04; residue = Omnibus Book 02 (the 2014 + 2015 runs), two rips of the 2015 line's Vol. 05 and the 2019 vs. Venom 2099 book, so 0.9
I 52115 cv=- gcd=1138936 0.9 | Classic Vol. 01 = GCD 76211 #1 row 1138936 (244pp, ISBN 978-0-7851-3964-5) vs our 238pp; no CV record for the Classic line
I 52116 cv=- gcd=1138937 0.9 | Classic Vol. 02 = GCD 76211 #2 row 1138937 (228pp) vs our 213pp; no CV record for the Classic line
I 52117 cv=- gcd=1138937 0.9 | second rip of Classic Vol. 02 = GCD 76211 #2 row 1138937 (228pp) vs our 220pp
I 52118 cv=- gcd=1314225 0.95 | Classic Vol. 03 "The Fall of the Hammer" = GCD 76211 #3 row 1314225 (300pp) by title and number
I 52119 cv=- gcd=1691804 0.9 | Classic Vol. 04 = GCD 76211 #4 row 1691804 (292pp) vs our 286pp
I 52120 cv=706417 gcd=- 0.9 | "Spider-Man 2099 vs. Venom 2099 (2019)" 272pp = CV 118394 issue 706417 (2019); no GCD record found
I 52133 cv=- gcd=1667255 isbn=978-1-302-90281-0 0.9 | "Spider-Man 2099 Vol. 05 - Civil War II (2017)" = GCD 86779 #5 row 1667255 (140pp) vs our 134pp, exact subtitle
I 118879 cv=- gcd=1667255 isbn=978-1-302-90281-0 0.9 | second rip of Vol. 05 - Civil War II = GCD 86779 #5 row 1667255
I 52136 cv=990929 gcd=2532121 0.9 | Omnibus Book 01 = CV 150576 issue 990929 (2023) and GCD 200653 row 2532121 (1392pp) vs our 1331pp
I 52137 cv=1050568 gcd=2619453 0.9 | Omnibus Book 02 = CV issue 1050568 (2024) and GCD row 2619453 (1264pp) vs our 1215pp
C 52133 cv=85312 gcd=93077 #11-16 0.95 | Vol. 05 Civil War II reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 #16 is "Civil War 2099 Chapter Four" / GCD 93077) #11-16 per GCD row 1667255
C 118879 cv=85312 gcd=93077 #11-16 0.95 | second rip of Vol. 05: reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #11-16 per GCD row 1667255
C 52137 cv=85312 gcd=93077 #1-25 0.95 | Omnibus Book 02 reprints the whole 2015 Spider-Man 2099 run (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #1-25 per GCD row 2619453
C 52137 cv=75557 gcd=81678 #1-12 0.95 | Omnibus Book 02 also reprints the 2014 Spider-Man 2099 run (Marvel 2014-2015, 12; CV 75557 / GCD 81678) #1-12 per GCD row 2619453
F 16131 misfiled | items 52133 and 118879 (two rips of "Spider-Man 2099 Vol. 05 - Civil War II", GCD 86779 #5) are a book of the Peter David trade line on S103767, not of the 1992 run
N 52120 "Spider-Man 2099 vs. Venom 2099" (2019, 272pp) is its own CV record 118394; GCD has no row and no notes, so what it reprints is not stated in our data — no C line
S 103767 cv=- gcd=86779 0.9 | split-reader id CONFIRMED: six trades "Spider-Man 2099 Vol. 01 Out of Time / 02 Spider-Verse / 03 Smack to the Future / 04 Gods and Women / 06 Apocalypse Soon / 07 Back to the Future, Shock!" = GCD 86779 "Spider-Man 2099" (Marvel 2015-2017, 7 — titles match volume for volume); the line spans the 2014 run (Vols 1-2) and the 2015 run (Vols 3-7), so the line is the identity; CV mints a volume per book and no line volume, so cv=-
I 52129 cv=478760 gcd=1325209 isbn=978-0-7851-9079-0 0.95 | Vol. 01 "Out of Time" = CV 79896 issue 478760 ("Volume 1") = GCD 86779 #1 row 1325209 (124pp vs our 120pp)
I 52130 cv=495594 gcd=1325210 isbn=978-0-7851-9080-6 0.95 | Vol. 02 "Spider-Verse" = CV 83392 issue 495594 ("Volume 2") = GCD 86779 #2 row 1325210 (164pp vs our 160pp)
I 52131 cv=527151 gcd=1562566 isbn=978-0-7851-9963-2 0.95 | Vol. 03 "Smack to the Future" = CV 89950 issue 527151 ("Volume 3") = GCD 86779 #3 row 1562566 (124pp vs our 129pp); the packet's stored row 2033738 is a French book, void
I 52132 cv=541218 gcd=1605841 isbn=978-0-7851-9964-9 0.95 | Vol. 04 "Gods and Women" = CV 92576 issue 541218 ("Volume 4") = GCD 86779 #4 row 1605841 (116pp vs our 120pp); the stored row 1013904 is another book
I 52134 cv=617851 gcd=1730399 isbn=978-1-302-90282-7 0.95 | Vol. 06 "Apocalypse Soon" = CV 103832 issue 617851 ("Volume 6") = GCD 86779 #6 row 1730399 (116pp vs our 122pp)
I 52135 cv=625324 gcd=1737139 isbn=978-1-302-90520-0 0.95 | Vol. 07 "Back to the Future, Shock!" = CV 104638 issue 625324 ("Volume 7") = GCD 86779 #7 row 1737139 (116pp); the stored row 2672426 is a German book, void
C 52129 cv=75557 gcd=81678 #1-5 0.95 | Vol. 01 Out of Time reprints Spider-Man 2099 (Marvel 2014-2015, 12; CV 75557 / GCD 81678) #1-5 per GCD row 1325209
C 52130 cv=75557 gcd=81678 #6-12 0.95 | Vol. 02 Spider-Verse reprints Spider-Man 2099 (Marvel 2014-2015, 12; CV 75557 / GCD 81678) #6-12 per GCD row 1325210
C 52131 cv=85312 gcd=93077 #1-5 0.95 | Vol. 03 Smack to the Future reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #1-5 per GCD row 1562566
C 52132 cv=85312 gcd=93077 #6-10 0.95 | Vol. 04 Gods and Women reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #6-10 per GCD row 1605841
C 52134 cv=85312 gcd=93077 #17-21 0.95 | Vol. 06 Apocalypse Soon reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #17-21 per GCD row 1730399
