# R-190 — identity-pass wrap-up: 39 file-holding shelves had NO winning decision because a landed merge made them the
# SURVIVOR of a shelf that was decided under its old id (Criminal S96188 -> S4343 and the like), so identity_coverage counted
# them UNDECIDED. Each is restated here from the merged-in shelf's winning S line (same ids, same confidence; spent
# merge-with / partial-rip lines dropped because the merge has happened); two that no line covered were read now.

S 5890 cv=102846 gcd=115540 0.95 | restated from B-020 S96610 (merged into this shelf): our seven trades collect one run and both legs hold it: CV 102846 (IDW 2017, 21) and the GCD per-file series 115540 (IDW 2017-2019, 21); the judged ranges run #1-2, #3-5, #6-7, #8-10, #11-13, #14-16, #17-20, i.e. inside those 21 issues
S 16625 cv=104029 gcd=117662 0.9 | restated from C-035 S100008 (merged into this shelf): CV 104029 "Star Wars Adventures" 2017 IDW matches per-file on 14/14; GCD's collected-editions 117662 (2017-2021, IDW, 11 issues, title-exact) is the run's own trade line; the overlap-in-series flag names GCD blocks 5-7 overlapping, a data artefact in that per-file match, not conflation
S 2438 cv=105004 gcd=205043 0.9 | restated from R-004 S2437 (merged into this shelf): one three-issue ashcan line split across two shelves: CV 105004 "Berger Books Sampler Ashcan" (Dark Horse 2017, 3, cached #1-3) covers our 001 (2017) and 002 (2018) here plus 003 on S2438, and GCD 205043 indexes the two later books at our page counts exactly (#2 May 2018 at 24 pages against our 23pp file, #3 July 2019 at 18 pages against an 18pp file); the residue is GCD's missing 2017 #1, which is why its span reads 2018-2019 and its count 2 against our ladder of 3
S 12506 cv=139974 gcd=177764 0.95 | restated from B-002 S98669 (merged into this shelf): CV 139974 (Ahoy Comics 2021, 5) and GCD 177764 (AHOY 2021, limited series, 5) agree on publisher, year and a five-issue limited series, our ladder is a complete 1-5 over files dated 2021-2022, and four ComicInfo blocks say Series "My Bad" / Publisher "AHOY Comics"
S 7777 cv=140335 gcd=179055 0.9 | restated from C-061 S97298 (merged into this shelf): CV 140335 and GCD 179055 "Good Boy" 2021-2022 Source Point Press count 3 both match our v1 3-issue ladder; file 3's 2022 cover date is late shipping of the same limited series, not GCD's separate v2 (185713, fresh #1 in 2022, count 4)
S 57612 cv=144308 gcd=187865 0.95 | restated from B-059 S96657 (merged into this shelf): the folder is `Edge of Spider-Verse v2 (2022)`, and CV 144308 "Edge of Spider-Verse" 2022 Marvel 5 pairs with GCD 187865 of the same title, year, publisher and count 5; ComicInfo Series says "Edge Of Spider-Verse" and our single file is that run's trade
S 5497 cv=148482 gcd=201604 0.95 | restated from B-020 S96451 (merged into this shelf): the CV per-file volume 148482 (Culturama 2021, 21) and the GCD per-file series 201604 (Culturama 2021-2023, 21) agree on publisher, years and count; our ladder is 1-20 of those 21 and every file is a 96-97pp Brazilian English-language issue
S 4343 cv=148684 gcd=86891 0.95 | restated from R-025 S96188 (merged into this shelf): both legs hold the Image collected LINE and it is coextensive with the shelf volume-for-volume: CV 148684 "Criminal" (2015 Image, 7) names its issues "Vol. 1 Coward", "Vol. 2 Lawless", "Vol. 3 The Dead and the Dying", "Vol. 4 Bad Night", "Vol. 5 The Sinners", "Vol. 6 The Last of the Innocent", "Vol. 7 Wrong Time, Wrong Place" and GCD 86891 (2015-2016 Image, collected edition, 7) carries the same seven titles with ISBNs 978-1-63215-170-4 through 978-1-63215-877-2 — our seven files are those seven books in that order, dated 2015 and 2016 exactly as the two legs date them
S 18429 cv=156865 gcd=208977 0.95 | restated from B-005 S18430 (merged into this shelf): CV 156865 "The Displaced" 2024 Boom (5) from the local rip and GCD 208977 "The Displaced" 2024-2024 Boom! Studios ([limited series] 5) agree on publisher, year and count 5, every filename says "(of 05)", and ComicInfo Series "The Displaced (2024)" / Publisher "BOOM! Studios" confirms it; the GCD per-file method was round2-folder but the DUMP names the same series independently, so the leg is verified rather than copied
S 65110 cv=18347 gcd=17594 0.95 | restated from B-013 S98421 (merged into this shelf): CV 18347 "Man-Bat" (DC 2006, 5) and GCD 17594 (DC 2006, Miniseries, 5) agree on publisher, year and count, and our five files are a complete ladder 1-5 dated 2006
S 20730 cv=18367 gcd=18787 0.95 | restated from B-014 S101237 (merged into this shelf): CV 18367 "Uncle Sam and the Freedom Fighters" (DC 2006, 8) and GCD 18787 (DC 2006-2007, limited series, 8) agree on publisher, start year and count, and our eight files each say "(of 08)" dated 2006-2007
S 15386 cv=18436 gcd=15553 0.95 | restated from D-002 S15400 (merged into this shelf): two files are the bookends of Morrison's megaseries: CV 18436 "Seven Soldiers" 2005 DC Comics 2 and GCD 15553 "Seven Soldiers" 2005-2006 DC 2 agree on publisher, years and count, and our two 34/36pp files are #0 and #1 (the ripper's 2000/2001 tokens are the rip year, not issue numbers)
S 65855 cv=19986 gcd=10591 0.9 | restated from B-014 S100218 (merged into this shelf): CV 19986 "Teen Titans" (DC 1996, 24) and GCD 10591 (DC 1996-1998, 24) agree on publisher, span and count, and our ladder is a complete 1-24 with ComicInfo Count 24; the 1997 Annual is a different record, which is the residue
S 1860 cv=20498 gcd=21353 0.95 | restated from B-003 S95372 (merged into this shelf): CV 20498 and GCD 21353 both record "Bartman" at Bongo, 1993-1995, six issues, and our ladder is a complete 1-6 over exactly those years
S 64155 cv=2050 gcd=1488 0.95 | restated from B-009 S95118 (merged into this shelf): CV 2050 "Aquaman" (DC 1962, 63) and GCD 1488 (DC 1962-1978, 63) agree on publisher, span and count, and our ladder 1-63 is the complete first series; the per-file link 5230 is the 1994 volume, matched by issue number
