# X-041 — item pass over Space Brothers / SPRIGGAN / Spy x Family / Star Wars - Return of the Jedi /
# Star Wars: The Mandalorian: The Manga / Stellar Witch LIP☆S / Stravaganza / Summer Wars / Summit of the
# Gods / Suzuka / Sweat and Soap / the Sword Art Online family (Hollow Realization, Kiss and Fly, Phantom
# Bullet, Project Alicization, Alternative Gun Gale Online, Progressive + its three sub-lines, Re:Aincrad) /
# Talentless Nana / That Blue Summer.
# Same reused-stamp shape throughout (Space Brothers, Sweat and Soap, most SAO sub-shelves): per-file CV is
# correct per volume, per-file GCD is one book's issue id stamped shelf-wide, corrected from the stored
# series' own header pool. SPRIGGAN Deluxe Edition and Talentless Nana show per-file CV landing on a
# DIFFERENT stored volume entirely (foreign edition / Crunchyroll stub); Suzuka's per-file CV consistently
# resolves to the untranslated Japanese-original volume (45091) rather than the stored English digital
# release (95853), whose own cached issues only cover v13-18 — v01-12 take gcd-only identities off the
# 涼風 series' full 18-row list. Star Wars - Return of the Jedi carries one MISFILED book (105917, a Dark
# Horse "Dawn of the Jedi" TPB) with its own record and a C line for what it collects. Stravaganza's English
# 3-book Omnibus has no safe 1:1 mapping onto Ehapa's 7-volume German line, so it takes gcd=- per book with
# an N naming the line. SPRIGGAN's Deluxe volumes collect the 1991-1996 Japanese original (GCD 188803, 11
# issues, no page counts in the dump) but with no safe per-volume range, so no C is written; an N names it.

# Space Brothers S15949 — per-file CV correct per volume; per-file GCD stamped with a wholly different
# series (104004) throughout; the stored 109685's own 45-row list supplies the correction.
I 42319 cv=504887 gcd=1654545 0.9 | header pool v01: CV 85812#1=504887, GCD 109685#1=1654545; per-file gcd (1738157/104004) is a wholly different series, rejected
I 42320 cv=504888 gcd=1654546 0.9 | header pool v02: CV 85812#2=504888, GCD 109685#2=1654546; per-file gcd is the same wrong series, rejected
I 42321 cv=505437 gcd=1654547 0.9 | header pool v03: CV 85812#3=505437, GCD 109685#3=1654547; per-file gcd is the same wrong series, rejected
I 42322 cv=506080 gcd=1654548 0.9 | header pool v04: CV 85812#4=506080, GCD 109685#4=1654548; per-file gcd is the same wrong series, rejected
I 42323 cv=506560 gcd=1654549 0.9 | header pool v05: CV 85812#5=506560, GCD 109685#5=1654549; per-file gcd is the same wrong series, rejected
I 42324 cv=507102 gcd=1654550 0.9 | header pool v06: CV 85812#6=507102, GCD 109685#6=1654550; per-file gcd is the same wrong series, rejected
I 42325 cv=507653 gcd=1654551 0.9 | header pool v07: CV 85812#7=507653, GCD 109685#7=1654551; per-file gcd is the same wrong series, rejected
I 42326 cv=508287 gcd=1654552 0.9 | header pool v08: CV 85812#8=508287, GCD 109685#8=1654552; per-file gcd is the same wrong series, rejected
I 42327 cv=508760 gcd=1654553 0.9 | header pool v09: CV 85812#9=508760, GCD 109685#9=1654553; per-file gcd is the same wrong series, rejected
I 42328 cv=509442 gcd=1654554 0.9 | header pool v10: CV 85812#10=509442, GCD 109685#10=1654554; per-file gcd is the same wrong series, rejected
I 42329 cv=510413 gcd=1654555 0.9 | header pool v11: CV 85812#11=510413, GCD 109685#11=1654555; per-file gcd is the same wrong series, rejected
I 42330 cv=510867 gcd=1654556 0.9 | header pool v12: CV 85812#12=510867, GCD 109685#12=1654556; per-file gcd is the same wrong series, rejected
