# shelf	signal	detail   (triage_09.py; feed: next_batch.py --s2-file)
S37	a-C	cv 19752 named by 40 C line(s) on books of S66465
S37	e	2332 files
S77	b	1/1 per-file CV links name another volume (94098x1)
S128	e	40 files
S130	b	2/2 per-file CV links name another volume (135362x2)
S186	c	item 36221 judged #15-25 does not fit the S run (cv - count -, gcd 81795 count 2)
S186	c	item 36220 judged #1-13 does not fit the S run (cv - count -, gcd 81795 count 2)
S208	d	provider-disagrees item 37824
S277	e	22 files
S297	a-S	gcd 112605 is also the S of S296
S327	c	item 41232 judged #43-48 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41233 judged #49-54 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41230 judged #31-36 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41231 judged #37-42 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41227 judged #10-17 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41228 judged #18-24 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S327	c	item 41229 judged #25-30 does not fit the S run (cv 114209 count 9, gcd 131225 count 6)
S344	a-C	cv 20473 named by 1 C line(s) on books of S64085
S344	a-C	gcd 31065 named by 1 C line(s) on books of S64085
S344	b	6/6 per-file CV links name another volume (59507x5, 44829x1)
S344	f	1 shelf/shelves merged in after the wave that landed R-076 (2026-09-23): S103860
S363	b	38/39 per-file CV links name another volume (37163x38)
S363	e	39 files
S381	a-C	gcd 97 named by 1 C line(s) on books of S18388
S381	a-I	gcd 97 named by 1 I line(s) on books of S3420
S381	e	1068 files
S391	c	item 109745 judged #1-5 does not fit the S run (cv 147312 count 4, gcd - count -)
S392	b	1/1 per-file CV links name another volume (93959x1)
S441	b	2/2 per-file CV links name another volume (68330x2)
S447	a-C	cv 116485 named by 1 C line(s) on books of S103644
S465	b	1/1 per-file CV links name another volume (67888x1)
S493	c	item 46194 judged #33-48 does not fit the S run (cv 114031 count 5, gcd 130915 count 5)
S493	c	item 46195 judged #49-64 does not fit the S run (cv 114031 count 5, gcd 130915 count 5)
S493	c	item 46196 judged #65-82 does not fit the S run (cv 114031 count 5, gcd 130915 count 5)
S493	c	item 46192 judged #1-16 does not fit the S run (cv 114031 count 5, gcd 130915 count 5)
S493	c	item 46193 judged #17-32 does not fit the S run (cv 114031 count 5, gcd 130915 count 5)
S515	d	provider-disagrees item 36235
S520	b	1/1 per-file CV links name another volume (20988x1)
S536	d	duplicate-edition item 117942
S536	d	label-ambiguous item 117942
S547	c	item 40474 judged #120-125 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40475 judged #126-130 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40468 judged #72-85 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40469 judged #86-97 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40470 judged #98-105 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40471 judged #106-112 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40472 judged #113-119 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40465 judged #20-36 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40466 judged #37-54 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40467 judged #55-71 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S547	c	item 40464 judged #1-19 does not fit the S run (cv 96596 count 12, gcd 117889 count 12)
S553	d	provider-disagrees item 34592
S555	b	15/15 per-file CV links name another volume (137576x15)
S555	c	item 40609 judged #15-19 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40619 judged #63-67 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40620 judged #68-73 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40622 judged #79-83 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40617 judged #54-57 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40618 judged #58-62 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40621 judged #74-78 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40616 judged #49-53 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40614 judged #39-43 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40615 judged #44-48 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40612 judged #29-33 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40613 judged #34-38 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40610 judged #20-24 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	c	item 40611 judged #25-28 does not fit the S run (cv 77588 count 17, gcd 91746 count 16)
S555	e	32 files
S638	d	provider-disagrees item 47994
S702	b	1/1 per-file CV links name another volume (155010x1)
S729	b	1/1 per-file CV links name another volume (81829x1)
S735	c	item 80311 judged #146-150 does not fit the S run (cv 101158 count 12, gcd 113811 count 12)
S735	d	arithmetic-odd item 80309
S737	b	2/2 per-file CV links name another volume (85929x2)
S757	d	provider-disagrees item 52909
S768	b	7/7 per-file CV links name another volume (1403x7)
S776	e	44 files
S792	d	label-ambiguous item 88663
S792	e	26 files
S824	a-C	cv 5533 named by 1 C line(s) on books of S871
S824	a-C	cv 5533 named by 1 C line(s) on books of S11513
S824	a-C	gcd 1514 named by 1 C line(s) on books of S871
S824	a-C	gcd 1514 named by 1 C line(s) on books of S11513
S863	a-I	cv 89345 named by 7 I line(s) on books of S103529
S863	a-I	gcd 99294 named by 7 I line(s) on books of S103529
S863	d	duplicate-edition item 93950
S863	d	duplicate-edition item 93951
S863	d	duplicate-edition item 118237
S863	d	label-ambiguous item 118237
S863	d	provider-disagrees item 94747
S894	a-I	cv 115556 named by 15 I line(s) on books of S95051
S894	a-I	gcd 134601 named by 15 I line(s) on books of S95051
S912	e	29 files
S919	c	item 43986 judged #1-21 does not fit the S run (cv 140092 count 1, gcd - count -)
S927	b	6/6 per-file CV links name another volume (78056x6)
S928	b	6/6 per-file CV links name another volume (84746x6)
S929	b	5/5 per-file CV links name another volume (91873x5)
S956	e	37 files
S956	f	42 files when C-058 was read, 37 now (files left the shelf — a split?)
S1002	e	27 files
S1028	d	label-ambiguous item 30289
S1061	e	31 files
S1159	b	2/2 per-file CV links name another volume (50083x2)
S1160	b	13/13 per-file CV links name another volume (5230x12, 91738x1)
S1160	d	provider-disagrees item 58797
S1165	b	1/1 per-file CV links name another volume (91284x1)
S1202	d	label-ambiguous item 11651
S1212	e	525 files
S1216	b	3/3 per-file CV links name another volume (24359x3)
S1230	b	1/1 per-file CV links name another volume (168947x1)
S1242	b	7/7 per-file CV links name another volume (1898x7)
S1247	b	1/1 per-file CV links name another volume (160843x1)
S1266	a-S	gcd 167909 is also the S of S102576
S1266	b	2/2 per-file CV links name another volume (115868x2)
S1270	b	1/1 per-file CV links name another volume (114232x1)
