# Stale-flag approvals (TOOLS_TODO 37) — the LEAD's file, never a reader's.
# One ContainmentFlag id per line, optionally followed by the shelf and a note: `662  S94684  read the four books`.
# wave_land.ps1 STOPS on any `F <sid> stale-flag=<id>` claim whose open flag is not listed here (stale_flags.py --gate),
# and dismisses exactly the listed ones (Note = the reader's evidence + lead-verified) right before apply.
91	lead 2026-09-23: S11193 holds exactly four files, COL Magic - The Gathering Vol. 01-04 (121/113/104/116pp), and GCD 74141 has exactly four rows (#1, #2 The Spell Thief, #3 Path of Vengeance, #4 Theros) — L-186, one collected line; verified with lookup --gcd-issues 74141 and --shelf 11193
678	S22590	lead 2026-09-23: lookup --shelf 22590 = exactly seven files, COL X-O Manowar v01-v07 (2017-2019, Soldier..Hero) — one ladder of the 2017 run; the 1992 run, 2020 books and Heavy Metal crossover moved off in P-006
104	S65741	lead 2026-09-23: lookup --shelf 65741 = nine files, Doctor Aphra (2016) Vol. 01-07 + Omnibus Book 01-02 (the 2016 run's omnibus line); the 2020 run's War of the Bounty Hunters / Crimson Reign / Dark Droids moved to S16693 in P-007 — one run left
20	S17160	lead 2026-09-23: lookup --shelf 17160 = 20 files, all Superior Spider-Man (2013): Slott reading-order Vol. 33-38 (= SSM Vol. 01-06), SSM Vol. 01-06 (two rips), Complete Collection 01-02, the Omnibus, #1/#6AU/#23 — the Brand New Day / ASM / Worldwide trades the flag named moved off in P-009
586	S6080	lead 2026-09-23: resolved, not a collision — lookup --shelf 6080 shows the three trade ladders (Vol. 00-01, 2260 Vol. 01-06, Mammoth Book 01-03) still present, but all reprint the ONE Elephantmen run (CV 20056) and their ranges are judged in that run's numbering, so the 'each a Vol. 01' overlap is naming only
109	S17660	lead 2026-09-23: three files, Tech Jacket Vol. 01-03 trades only (coll=1), CV 58225 is the trade line — kept whole under L-186 in P-003; no issue of either run left to conflate
75	S7823	lead 2026-09-23: four files, Grace Randolph's Supurbia Vol. 01-04 trades only, CV 54306 the four-book line (L-186) — each trade's run on its C line
79	S8441	lead 2026-09-23: four files, Hawaiian Dick Vol. 01-04 trades only, GCD 33385 the line (L-186) — each mini on its C line
68	S6410	lead 2026-09-23: six files, Faith Vol. 01-04 + two Deluxe Editions of the same line, GCD 114627 (L-186) — no issues of the mini or the ongoing on the shelf
612	S103839	lead 2026-09-23: lookup --shelf 103839 = exactly seven files, COL Essential Judge Dredd Vol. 01-07 (2020-2023, America..Tour of Duty Book 01) — one Rebellion ladder with ONE Vol. 01; the other ladders (2000AD extracts, IDW, Year One) moved off/stayed in P-015
10	S94759	lead 2026-09-23: lookup --shelf 94759 = ONE file, COL 30 Days of Night Vol. 02 - Dark Days (143pp) collecting one run (CV 11267 / GCD 12209 #1-6); the several-minis shelf this flag described is gone
30	S1469	lead 2026-09-23: lookup --shelf 1469 = thirteen COL Atomic Robo Vol. 01-13, the Red 5 trade LINE (GCD 33334, which indexes only vols 1-5 — an incomplete record of the same line); each mini gets its own C line — one line, L-318/L-186
90	S10845	lead 2026-09-23: lookup --shelf 10845 = six COL Locke & Key Vol. 01-06 (2008-2014) = GCD 61399's six hardcover rows exactly, dates row for row; each mini on its own C line — L-186 exact span
7	S2	lead 2026-09-23: lookup --shelf 2 = four COL '68 Vol 1-4 TPB = GCD 149620 rows #1-4 by subtitle; the four minis each named on a C line — one trade line, L-318
8	S2	lead 2026-09-23: as flag 7 — the repeated gcd #1-4 was the per-file stamp; each volume's C line now names its own mini
9	S2	lead 2026-09-23: as flag 7 — Rule of War's C line names its own mini (CV 72801 / GCD 80031)
13	S452	lead 2026-09-23: lookup --shelf 452 = one file, Adventureman v01 2024 softcover (175pp); the 2020 HC (item 36095) is on S451 — same run, merged in this wave by F 452 merge-with=451 (shared cv)
643	S99973	lead 2026-09-23: lookup --shelf 99973 = the 2022 Spider-Man run only: its Vol. 01-02 trades (169/110pp), 1pp variants of #1-10 and the 2023 annual — one ladder, one Vol. 01
23	S946	lead 2026-09-23: lookup --shelf 946 = four books of ONE trade line (American Jesus Book 01-03 + The Chosen One trilogy omnibus), no issue files; each mini on its book's C line — L-318
54	S3857	lead 2026-09-23: lookup --shelf 3857 = two trades of ONE line (Chrononauts Vol. 01-02), no issue files; each mini on its C line — L-318
85	S10089	lead 2026-09-23: lookup --shelf 10089 = two trades of ONE line (Jupiter's Circle Vol. 01-02), no issue files; each season on its C line — L-318
