# X-040 — item pass over Samurai Executioner / Sankarea / Saturn Apartments / School Zone Girls /
# Shangri-La Frontier / Shy / Silver Spoon / Since I Could Die Tomorrow / Skull-face Bookseller Honda-san /
# Slam Dunk / Smile Down the Runway / Snowball Earth / Soul Eater / Soul Eater NOT!.
# Same GCD-reused-stamp shape as every prior item batch (v01's issue id stamped across the whole shelf) on
# Samurai Executioner, Sankarea, Silver Spoon, Skull-face Bookseller Honda-san, Sweat and Soap-style shelves
# here. Slam Dunk and both Soul Eater shelves are worse: per-file CV ALSO lands on a foreign/old-edition twin
# volume (22462/135039/45091-style ids), so BOTH legs are read off the shelf's own header pool by ordinal,
# never the per-file pick. Shy's per-file CV points at an entirely different volume (140077) throughout.
# Shangri-La Frontier's per-file GCD names two per-book CANDIDATE series (177010 for v01-04, 188643 for
# v05-17), neither the stored 189756 — the stored series' own 21-row issue list is the pool, matched by
# ordinal. Saturn Apartments, Snowball Earth v01, School Zone Girls and Sword-adjacent one-shots show clean
# direct agreement on both legs with no stamp to correct.

# Samurai Executioner S24303 — two rip sets of the same ten volumes (40797-40806, 45936-45945); per-file CV
# is correct per volume, per-file GCD is v01's id (231425) stamped across all ten.
I 40797 cv=104280 gcd=231425 0.95 | header pool v01: CV 11924#1=104280, GCD 12941#1=231425 (isbn 1-59307-207-4); direct agreement, no correction needed
I 40798 cv=104281 gcd=231426 0.95 | header pool v02: CV 11924#2=104281, GCD 12941#2=231426 (isbn 1-59307-208-2); per-file gcd (231425) is v01's id reused as a stamp
I 40799 cv=104282 gcd=231427 0.95 | header pool v03: CV 11924#3=104282, GCD 12941#3=231427 (isbn 1-59307-209-0); per-file gcd is the same v01 stamp, rejected
I 40800 cv=104283 gcd=231428 0.95 | header pool v04: CV 11924#4=104283, GCD 12941#4=231428 (isbn 1-59307-210-4); per-file gcd is the same v01 stamp, rejected
I 40801 cv=104284 gcd=231429 0.95 | header pool v05: CV 11924#5=104284, GCD 12941#5=231429 (isbn 1-59307-211-2); per-file gcd is the same v01 stamp, rejected
I 40802 cv=104285 gcd=231430 0.95 | header pool v06: CV 11924#6=104285, GCD 12941#6=231430 (isbn 1-59307-275-9); per-file gcd is the same v01 stamp, rejected
I 40803 cv=104286 gcd=231431 0.95 | header pool v07: CV 11924#7=104286, GCD 12941#7=231431 (isbn 1-59307-276-7); per-file gcd is the same v01 stamp, rejected
I 40804 cv=104287 gcd=231432 0.95 | header pool v08: CV 11924#8=104287, GCD 12941#8=231432 (isbn 1-59307-277-5); per-file gcd is the same v01 stamp, rejected
I 40805 cv=104288 gcd=231433 0.95 | header pool v09: CV 11924#9=104288, GCD 12941#9=231433 (isbn 1-59307-278-3); per-file gcd is the same v01 stamp, rejected
I 40806 cv=104289 gcd=231434 0.95 | header pool v10: CV 11924#10=104289, GCD 12941#10=231434 (isbn 1-59307-279-1); per-file gcd is the same v01 stamp, rejected
I 45936 cv=104280 gcd=231425 0.95 | second rip of v01 (lfp-DCP set), identical header pool #1 as item 40797; direct agreement
I 45937 cv=104281 gcd=231426 0.95 | second rip of v02, header pool #2 as item 40798; per-file gcd was v01's stamp
I 45938 cv=104282 gcd=231427 0.95 | second rip of v03, header pool #3 as item 40799; per-file gcd was v01's stamp
I 45939 cv=104283 gcd=231428 0.95 | second rip of v04, header pool #4 as item 40800; per-file gcd was v01's stamp
I 45940 cv=104284 gcd=231429 0.95 | second rip of v05, header pool #5 as item 40801; per-file gcd was v01's stamp
I 45941 cv=104285 gcd=231430 0.95 | second rip of v06, header pool #6 as item 40802; per-file gcd was v01's stamp
I 45942 cv=104286 gcd=231431 0.95 | second rip of v07, header pool #7 as item 40803; per-file gcd was v01's stamp
I 45943 cv=104287 gcd=231432 0.95 | second rip of v08, header pool #8 as item 40804; per-file gcd was v01's stamp
I 45944 cv=104288 gcd=231433 0.95 | second rip of v09, header pool #9 as item 40805; per-file gcd was v01's stamp
I 45945 cv=104289 gcd=231434 0.95 | second rip of v10, header pool #10 as item 40806; per-file gcd was v01's stamp

# Sankarea - Undying Love S15047 — per-file CV correct per volume, per-file GCD is v01's id (1180374) stamped
# across all eleven.
I 41342 cv=411889 gcd=1180374 0.95 | header pool v01: CV 63732#1=411889, GCD 79121#1=1180374 (isbn 978-1-612623511); direct agreement
I 41343 cv=424606 gcd=1180376 0.95 | header pool v02: CV 63732#2=424606, GCD 79121#2=1180376 (isbn 978-1-612623528); per-file gcd (1180374) is v01's stamp, rejected
I 41344 cv=432403 gcd=1180387 0.95 | header pool v03: CV 63732#3=432403, GCD 79121#3=1180387 (isbn 978-1-612623535); per-file gcd is the same v01 stamp, rejected
I 41345 cv=441500 gcd=1180408 0.95 | header pool v04: CV 63732#4=441500, GCD 79121#4=1180408 (isbn 978-1-612623542); per-file gcd is the same v01 stamp, rejected
I 41346 cv=445240 gcd=1180416 0.95 | header pool v05: CV 63732#5=445240, GCD 79121#5=1180416 (isbn 978-1-612623986); per-file gcd is the same v01 stamp, rejected
I 41347 cv=451822 gcd=1226237 0.95 | header pool v06: CV 63732#6=451822, GCD 79121#6=1226237 (isbn 978-1-612623993); per-file gcd is the same v01 stamp, rejected
